Date,"Daily Total Video Views","Daily Total Promoted Views","Daily Total Organic Views","Daily Total Auto-Played Views","Daily Total Clicked Views","Daily Total Unique Video Views","Daily Video Repeats"
,"Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count)","Daily: Number of times a promoted video has been viewed for more than 3 seconds (Total Count)","Daily: Number of times a video has been viewed due to organic reach (Total Count)","Daily: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count)","Daily: Number of times a video has been viewed after the user clicked play (Total Count)","Daily: Metric showing videos played for unique people for more than 3 seconds aggregated at the page level (Unique Users)","Daily: Number of times the video has been seen outside the first play (Total Count)"
2017-10-08,841,369,472,83,758,414,427
2017-10-09,67,16,51,22,45,38,29
2017-10-10,25,1,24,17,8,17,8
2017-10-11,30,,30,22,8,21,9
2017-10-12,40,,40,31,9,20,20
2017-10-13,39,,39,33,6,30,9
2017-10-14,20,,20,12,8,16,4
2017-10-15,25,,25,15,10,16,9
2017-10-16,12,,12,6,6,9,3
2017-10-17,7,,7,2,5,5,2
2017-10-18,38,,38,29,9,21,17
2017-10-19,13,,13,5,8,4,9
2017-10-20,107,,107,95,12,46,61
2017-10-21,58,,58,48,10,24,34
2017-10-22,13,,13,7,6,10,3
2017-10-23,24,,24,15,9,14,10
2017-10-24,19,,19,12,7,10,9
2017-10-25,122,,122,118,4,68,54
2017-10-26,96,,96,91,5,58,38
2017-10-27,38,,38,33,5,26,12
2017-10-28,27,,27,24,3,20,7
2017-10-29,34,,34,30,4,25,9
2017-10-30,27,,27,23,4,25,2
2017-10-31,28,,28,14,14,16,12
2017-11-01,83,6,77,54,29,36,47
2017-11-02,62,6,56,39,23,28,34
2017-11-03,47,,47,24,23,16,31
2017-11-04,28,,28,17,11,16,12
2017-11-05,473,112,361,231,242,224,249
2017-11-06,2137,893,1244,477,1660,1191,946
2017-11-07,368,153,215,138,230,259,109
2017-11-08,296,17,279,214,82,145,151
2017-11-09,334,67,267,172,162,168,166
2017-11-10,252,2,250,217,35,192,60
2017-11-11,365,,365,352,13,299,66
2017-11-12,233,,233,219,14,196,37
2017-11-13,494,263,231,465,29,418,76
2017-11-14,502,283,219,456,46,418,84
2017-11-15,94,1,93,72,22,71,23
2017-11-16,81,,81,64,17,50,31
2017-11-17,47,,47,23,24,32,15
2017-11-18,38,,38,19,19,17,21
2017-11-19,30,,30,17,13,19,11
2017-11-20,119,,119,104,15,99,20
2017-11-21,277,153,124,261,16,241,36
2017-11-22,460,391,69,449,11,430,30
2017-11-23,115,,115,97,18,61,54
2017-11-24,53,,53,37,16,39,14
2017-11-25,21,,21,17,4,16,5
2017-11-26,13,,13,9,4,8,5
2017-11-27,19,,19,12,7,11,8
2017-11-28,35,,35,22,13,13,22
2017-11-29,46,,46,18,28,21,25
2017-11-30,51,,51,25,26,28,23
2017-12-01,27,,27,11,16,17,10
2017-12-02,219,38,181,181,38,155,64
2017-12-03,381,329,52,355,26,344,37
2017-12-04,383,124,259,341,42,329,54
2017-12-05,117,3,114,99,18,86,31
2017-12-06,55,,55,40,15,30,25
2017-12-07,41,,41,32,9,26,15
2017-12-08,31,,31,16,15,15,16
2017-12-09,22,,22,12,10,8,14
2017-12-10,11,,11,10,1,8,3
2017-12-11,16,,16,7,9,8,8
2017-12-12,21,,21,9,12,8,13
2017-12-13,13,,13,6,7,6,7
2017-12-14,24,,24,14,10,12,12
2017-12-15,22,,22,9,13,11,11
2017-12-16,7,,7,4,3,6,1
2017-12-17,25,,25,6,19,16,9
2017-12-18,82,,82,68,14,74,8
2017-12-19,93,,93,74,19,62,31
2017-12-20,81,,81,35,46,52,29
2017-12-21,49,,49,22,27,26,23
2017-12-22,25,,25,6,19,19,6
2017-12-23,28,,28,16,12,15,13
2017-12-24,6,,6,4,2,6,
2017-12-25,142,,142,128,14,130,12
2017-12-26,309,54,255,232,77,235,74
2017-12-27,198,70,128,99,99,143,55
2017-12-28,65,,65,36,29,30,35
2017-12-29,42,,42,17,25,25,17
2017-12-30,25,,25,9,16,19,6
2017-12-31,92,,92,82,10,42,50
2018-01-01,29,,29,14,15,17,12
2018-01-02,19,,19,5,14,10,9
2018-01-03,216,69,147,191,25,170,46
2018-01-04,405,266,139,377,28,344,61
2018-01-05,507,427,80,484,23,471,36
2018-01-06,192,48,144,167,25,143,49
